tweet_id,favorites,retweets,user_followers,user_favourites,date_time
680145970311643136,3770,1860,7769815,141082,2015-12-24 22:00:10
680130881361686529,2381,1012,7769815,141082,2015-12-24 21:00:12
680115823365742593,2822,965,7769815,141082,2015-12-24 20:00:22
680100725817409536,3722,1452,7769815,141082,2015-12-24 19:00:23
680085611152338944,13323,9497,7769815,141082,2015-12-24 18:00:19
680070545539371008,2686,932,7769815,141082,2015-12-24 17:00:27
679877062409191424,2053,685,7769815,141082,2015-12-24 04:11:37
679872969355714560,2268,706,7769815,141082,2015-12-24 03:55:21
679862121895714818,2554,662,7769815,141082,2015-12-24 03:12:15
679854723806179328,2983,1308,7769815,141082,2015-12-24 02:42:51
679844490799091713,2470,810,7769815,141082,2015-12-24 02:02:12
679828447187857408,37752,14909,7769815,141082,2015-12-24 00:58:27
679777920601223168,3208,1185,7769815,141082,2015-12-23 21:37:40
679736210798047232,2171,842,7769815,141082,2015-12-23 18:51:56
679729593985699840,2253,869,7769815,141082,2015-12-23 18:25:38
679722016581222400,1725,497,7769815,141082,2015-12-23 17:55:32
679530280114372609,4957,2202,7769815,141082,2015-12-23 05:13:38
679527802031484928,2753,767,7769814,141082,2015-12-23 05:03:47
679511351870550016,3507,1347,7769814,141082,2015-12-23 03:58:25
679503373272485890,3272,1564,7769814,141082,2015-12-23 03:26:43
679475951516934144,2178,679,7769814,141082,2015-12-23 01:37:45
679462823135686656,33019,19980,7769814,141082,2015-12-23 00:45:35
679405845277462528,2472,1275,7769814,141082,2015-12-22 20:59:10
679158373988876288,22306,8592,7769814,141082,2015-12-22 04:35:49
679148763231985668,2877,1094,7769814,141082,2015-12-22 03:57:37
679132435750195208,3079,1229,7769814,141082,2015-12-22 02:52:45
679111216690831360,6190,2711,7769814,141082,2015-12-22 01:28:25
679062614270468097,17728,8701,7769814,141082,2015-12-21 22:15:18
679047485189439488,2338,719,7769814,141082,2015-12-21 21:15:11
679001094530465792,2937,1310,7769814,141082,2015-12-21 18:10:50
678991772295516161,2412,1250,7769814,141082,2015-12-21 17:33:48
678969228704284672,1703,488,7769814,141082,2015-12-21 16:04:13
678800283649069056,2677,956,7769814,141082,2015-12-21 04:52:53
678798276842360832,3608,1256,7769814,141082,2015-12-21 04:44:55
678774928607469569,2908,972,7769814,141082,2015-12-21 03:12:08
678767140346941444,3671,1449,7769814,141082,2015-12-21 02:41:11
678764513869611008,1702,504,7769814,141082,2015-12-21 02:30:45
678755239630127104,7404,3503,7769814,141082,2015-12-21 01:53:54
678740035362037760,3904,1799,7769814,141082,2015-12-21 00:53:29
678708137298427904,5776,2568,7769814,141082,2015-12-20 22:46:44
678675843183484930,2979,1568,7769814,141082,2015-12-20 20:38:24
678643457146150913,2130,448,7769814,141082,2015-12-20 18:29:43
678446151570427904,4145,1660,7769814,141082,2015-12-20 05:25:42
678424312106393600,5610,2685,7769814,141082,2015-12-20 03:58:55
678410210315247616,4391,1929,7769814,141082,2015-12-20 03:02:53
678399652199309312,82082,33612,7769814,141082,2015-12-20 02:20:55
678396796259975168,1645,443,7769814,141082,2015-12-20 02:09:34
678389028614488064,1938,442,7769814,141082,2015-12-20 01:38:42
678380236862578688,2527,962,7769814,141082,2015-12-20 01:03:46
678341075375947776,1792,568,7769814,141082,2015-12-19 22:28:09
678334497360859136,1349,275,7769814,141082,2015-12-19 22:02:01
678278586130948096,11874,6421,7769814,141082,2015-12-19 18:19:51
678255464182861824,1639,394,7769814,141082,2015-12-19 16:47:58
678023323247357953,2000,405,7769814,141082,2015-12-19 01:25:31
678021115718029313,14254,6741,7769814,141082,2015-12-19 01:16:45
677961670166224897,3541,1779,7769814,141082,2015-12-18 21:20:32
677918531514703872,1399,432,7769814,141082,2015-12-18 18:29:07
677895101218201600,5008,2221,7769814,141082,2015-12-18 16:56:01
677716515794329600,3161,1019,7769814,141082,2015-12-18 05:06:23
677700003327029250,3510,1526,7769814,141082,2015-12-18 04:00:46
677698403548192770,1270,336,7769814,141082,2015-12-18 03:54:25
677687604918272002,2564,892,7769814,141082,2015-12-18 03:11:30
677673981332312066,3455,1580,7769814,141082,2015-12-18 02:17:22
677662372920729601,2018,1025,7769814,141082,2015-12-18 01:31:14
677644091929329666,1928,840,7769814,141082,2015-12-18 00:18:36
677573743309385728,2213,763,7769814,141082,2015-12-17 19:39:03
677565715327688705,1337,483,7769814,141082,2015-12-17 19:07:09
677557565589463040,2520,1224,7769814,141082,2015-12-17 18:34:46
677547928504967168,7162,3841,7769814,141082,2015-12-17 17:56:29
677530072887205888,1112,239,7769814,141082,2015-12-17 16:45:31
677335745548390400,3141,1883,7769814,141082,2015-12-17 03:53:20
677334615166730240,1402,308,7769814,141082,2015-12-17 03:48:51
677331501395156992,1130,247,7769814,141082,2015-12-17 03:36:28
677328882937298944,3752,1578,7769814,141082,2015-12-17 03:26:04
677314812125323265,1693,565,7769814,141082,2015-12-17 02:30:09
677301033169788928,1278,433,7769814,141082,2015-12-17 01:35:24
677269281705472000,2064,742,7769814,141082,2015-12-16 23:29:14
677228873407442944,3657,1721,7769814,141082,2015-12-16 20:48:40
677187300187611136,2816,973,7769814,141082,2015-12-16 18:03:28
676975532580409345,2865,1129,7769842,141082,2015-12-16 04:01:59
676957860086095872,2287,848,7769842,141082,2015-12-16 02:51:45
676949632774234114,1344,419,7769842,141082,2015-12-16 02:19:04
676948236477857792,2243,917,7769842,141082,2015-12-16 02:13:31
676946864479084545,1763,396,7769842,141082,2015-12-16 02:08:04
676942428000112642,2136,797,7769842,141082,2015-12-16 01:50:26
676936541936185344,13113,5161,7769842,141082,2015-12-16 01:27:03
676916996760600576,3058,1888,7769842,141082,2015-12-16 00:09:23
676897532954456065,2327,761,7769842,141082,2015-12-15 22:52:02
676864501615042560,2163,745,7769842,141082,2015-12-15 20:40:47
676821958043033607,23791,16402,7769842,141082,2015-12-15 17:51:44
676819651066732545,1857,698,7769842,141082,2015-12-15 17:42:34
676811746707918848,1454,444,7769842,141082,2015-12-15 17:11:09
676776431406465024,5159,2104,7769842,141082,2015-12-15 14:50:49
676617503762681856,2986,1032,7769842,141082,2015-12-15 04:19:18
676613908052996102,1119,206,7769842,141082,2015-12-15 04:05:01
676606785097199616,1935,459,7770447,141083,2015-12-15 03:36:42
676603393314578432,1203,404,7769842,141082,2015-12-15 03:23:14
676593408224403456,4717,2265,7769842,141082,2015-12-15 02:43:33
676590572941893632,944,133,7769842,141082,2015-12-15 02:32:17
676588346097852417,2398,837,7769842,141082,2015-12-15 02:23:26
676582956622721024,1238,291,7769842,141082,2015-12-15 02:02:01
676575501977128964,2674,1173,7769842,141082,2015-12-15 01:32:24
676533798876651520,1936,583,7769842,141082,2015-12-14 22:46:41
676496375194980353,1564,560,7769842,141082,2015-12-14 20:17:59
676470639084101634,11938,4894,7769842,141082,2015-12-14 18:35:43
676440007570247681,1770,695,7769842,141082,2015-12-14 16:34:00
676430933382295552,1436,361,7769842,141082,2015-12-14 15:57:56
676263575653122048,2136,578,7769842,141082,2015-12-14 04:52:55
676237365392908289,1261,306,7769842,141082,2015-12-14 03:08:46
676219687039057920,77026,32435,7769842,141082,2015-12-14 01:58:31
676215927814406144,1787,612,7769842,141082,2015-12-14 01:43:35
676191832485810177,2345,1077,7769842,141082,2015-12-14 00:07:50
676146341966438401,1977,697,7769842,141082,2015-12-13 21:07:04
676121918416756736,2215,1212,7769842,141082,2015-12-13 19:30:01
676101918813499392,2894,1211,7769842,141082,2015-12-13 18:10:33
676098748976615425,3091,1507,7769842,141082,2015-12-13 17:57:57
676089483918516224,1353,451,7769842,141082,2015-12-13 17:21:08
675898130735476737,1672,597,7769842,141082,2015-12-13 04:40:46
675891555769696257,2187,906,7769842,141082,2015-12-13 04:14:39
675888385639251968,2440,1004,7769842,141082,2015-12-13 04:02:03
675878199931371520,4283,1459,7769842,141082,2015-12-13 03:21:34
675870721063669760,1684,599,7769842,141082,2015-12-13 02:51:51
675853064436391936,2760,1357,7769842,141082,2015-12-13 01:41:41
675849018447167488,968,155,7769842,141082,2015-12-13 01:25:37
675845657354215424,2343,929,7769842,141082,2015-12-13 01:12:15
675822767435051008,1563,558,7769842,141082,2015-12-12 23:41:18
675820929667219457,1079,240,7769842,141082,2015-12-12 23:34:00
675798442703122432,10510,3536,7769842,141082,2015-12-12 22:04:39
675781562965868544,1664,495,7769842,141082,2015-12-12 20:57:34
675740360753160193,1199,363,7769842,141082,2015-12-12 18:13:51
675710890956750848,1938,860,7769842,141082,2015-12-12 16:16:45
675707330206547968,2029,727,7769842,141082,2015-12-12 16:02:36
675706639471788032,662,102,7769842,141082,2015-12-12 15:59:51
675534494439489536,1866,435,7769842,141082,2015-12-12 04:35:48
675531475945709568,1213,402,7769842,141082,2015-12-12 04:23:49
675522403582218240,1069,298,7769842,141082,2015-12-12 03:47:46
675517828909424640,1329,477,7769842,141082,2015-12-12 03:29:35
675501075957489664,17542,6050,7769842,141082,2015-12-12 02:23:01
675497103322386432,3213,1351,7769842,141082,2015-12-12 02:07:14
